"Table 1 – Estimates of principal field crop areas"
" "," 2024"," 2025"," 2026{1} {p}"," 2024 to 2025"," 2025 to 2026"
"","thousands of acres","thousands of acres","thousands of acres","% change","% change"
"Total  wheat (including winter wheat seeded in the fall){2}","26774","27032","26738","1.0","-1.1"
"Durum wheat","6364","6532","6378","2.6","-2.4"
"Spring wheat","18943","18809","18781","-0.7","-0.1"
"Winter wheat{3}","1466","1692","1579","15.4","-6.7"
"Barley","6405","6136","6441","-4.2","5.0"
"Canary seed","291","319","301","9.8","-5.8"
"Canola","22011","21623","21839","-1.8","1.0"
"Chick peas","481","541","575","12.6","6.3"
"Corn for grain","3651","3782","3846","3.6","1.7"
"Dry beans","402","426","295","5.9","-30.7"
"Dry field peas","3213","3510","3078","9.2","-12.3"
"Fall Rye","444","672","566","51.3","-15.8"
"Flaxseed","504","620","753","23.2","21.4"
"Lentils","4210","4380","4138","4.0","-5.5"
"Mustard seed","606","361","488","-40.4","35.1"
"Oats","2900","2996","2903","3.3","-3.1"
"Soybeans","5710","5782","5890","1.3","1.9"
"Summerfallow","1234","1079","1197","-12.6","11.0"
"Sunflower seed","60","76","66","26.0","-12.6"
"","","","","",""
 p  preliminary
"1. The methodology used for area estimates for the Atlantic provinces and British Columbia was modified in 2014. For more information, see Note to readers. "
"2. Represents the sum of winter wheat, spring wheat and durum wheat."
"3. The area seeded in the fall."
"Note(s):"
"The estimates in this table have been rounded to the nearest thousand. The percentage changes reflect the unrounded estimates."
"Wheat types may not add up to total wheat as a result of rounding. "
"Source(s):"
"Table 32-10-0359-01."
