"Table 1 – November estimates of production of principal field crops"
" "," 2023"," 2024"," 2025"," 2023 to 2024"," 2024 to 2025"
"","thousands of tonnes","thousands of tonnes","thousands of tonnes","% change","% change"
"Total  wheat{1}","33414","35939","39955","7.6","11.2"
"Durum wheat","4247","6380","7135","50.2","11.8"
"Spring wheat","25825","26515","29259","2.7","10.3"
"Winter wheat","3342","3043","3561","-8.9","17.0"
"Barley","8905","8144","9725","-8.6","19.4"
"Canary seed","112","185","235","65.1","26.8"
"Canola","19464","19239","21804","-1.2","13.3"
"Chick peas","159","287","482","80.2","67.9"
"Corn for grain","15421","15345","14867","-0.5","-3.1"
"Dry beans","339","424","438","25.0","3.3"
"Dry field peas","2609","2997","3934","14.9","31.3"
"Fall rye","354","416","672","17.7","61.3"
"Flaxseed","273","258","454","-5.4","76.2"
"Lentils","1801","2431","3363","35.0","38.3"
"Mustard seed","171","192","140","12.6","-27.3"
"Oats","2643","3358","3920","27.0","16.7"
"Soybeans","6981","7568","6793","8.4","-10.2"
"Sunflower seed","92","51","69","-45.2","36.4"
"","","","","",""
"1. The ""Total wheat"" category represents the sum of winter wheat, spring wheat and durum wheat."
"Note(s):"
"The estimates in this table have been rounded to the nearest thousand. The percentage changes reflect the unrounded estimates."
"Wheat types may not add up to total wheat as a result of rounding. "
"Source(s):"
"Table 32-10-0359-01."
